date,index_name,close
2026-03-09,數位雲端類指數,35.41
2026-03-09,運動休閒類指數,62.41
2026-03-09,居家生活類指數,101.32
2026-03-09,其他類指數,257.84
2026-03-06,發行量加權股價指數,33599.54
2026-03-06,水泥窯製類指數,630.49
2026-03-06,塑膠化工類指數,757.73
2026-03-06,機電類指數,11476.7
2026-03-06,水泥類指數,124.82
2026-03-06,食品類指數,1946.75
2026-03-06,塑膠類指數,192.75
2026-03-06,紡織纖維類指數,519.07
2026-03-06,電機機械類指數,472.55
2026-03-06,電器電纜類指數,102.0
2026-03-06,化學生技醫療類指數,145.23
2026-03-06,化學類指數,168.35
2026-03-06,生技醫療類指數,82.45
2026-03-06,玻璃陶瓷類指數,137.17
2026-03-06,造紙類指數,246.09
2026-03-06,鋼鐵類指數,121.26
2026-03-06,橡膠類指數,189.75
2026-03-06,汽車類指數,299.09
2026-03-06,電子工業類指數,2077.33
2026-03-06,半導體類指數,1120.45
2026-03-06,電腦及週邊設備類指數,314.44
2026-03-06,光電類指數,43.74
2026-03-06,通信網路類指數,205.33
2026-03-06,電子零組件類指數,534.51
2026-03-06,電子通路類指數,297.76
2026-03-06,資訊服務類指數,200.11
2026-03-06,其他電子類指數,230.36
2026-03-06,建材營造類指數,475.78
2026-03-06,航運類指數,185.73
2026-03-06,觀光餐旅類指數,104.53
2026-03-06,金融保險類指數,2452.35
2026-03-06,貿易百貨類指數,233.67
2026-03-06,油電燃氣類指數,85.92
2026-03-06,綠能環保類指數,109.99
